2014-10-22 18:34:59 startup archives install
2014-10-22 18:34:59 install base-passwd:amd64 <none> 3.5.36
2014-10-22 18:34:59 status half-installed base-passwd:amd64 3.5.36
2014-10-22 18:35:00 status unpacked base-passwd:amd64 3.5.36
2014-10-22 18:35:00 status unpacked base-passwd:amd64 3.5.36
2014-10-22 18:35:00 configure base-passwd:amd64 3.5.36 3.5.36
2014-10-22 18:35:00 status unpacked base-passwd:amd64 3.5.36
2014-10-22 18:35:00 status half-configured base-passwd:amd64 3.5.36
2014-10-22 18:35:00 status installed base-passwd:amd64 3.5.36
2014-10-22 18:35:00 startup archives install
2014-10-22 18:35:00 install base-files:amd64 <none> 7.2ubuntu7
2014-10-22 18:35:00 status half-installed base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 configure base-files:amd64 7.2ubuntu7 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status half-configured base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 status installed base-files:amd64 7.2ubuntu7
2014-10-22 18:35:01 startup archives install
2014-10-22 18:35:01 upgrade dpkg 1.17.13ubuntu1 1.17.13ubuntu1
2014-10-22 18:35:01 status half-configured dpkg 1.17.13ubuntu1
2014-10-22 18:35:02 status unpacked dpkg 1.17.13ubuntu1
2014-10-22 18:35:02 status half-installed dpkg 1.17.13ubuntu1
2014-10-22 18:35:03 status half-installed dpkg 1.17.13ubuntu1
2014-10-22 18:35:04 status unpacked dpkg 1.17.13ubuntu1
2014-10-22 18:35:04 status unpacked dpkg 1.17.13ubuntu1
2014-10-22 18:35:04 configure dpkg 1.17.13ubuntu1 1.17.13ubuntu1
2014-10-22 18:35:04 status unpacked dpkg 1.17.13ubuntu1
2014-10-22 18:35:04 status unpacked dpkg 1.17.13ubuntu1
2014-10-22 18:35:04 status unpacked dpkg 1.17.13ubuntu1
2014-10-22 18:35:04 status unpacked dpkg 1.17.13ubuntu1
2014-10-22 18:35:04 status unpacked dpkg 1.17.13ubuntu1
2014-10-22 18:35:04 status half-configured dpkg 1.17.13ubuntu1
2014-10-22 18:35:04 status installed dpkg 1.17.13ubuntu1
2014-10-22 18:35:04 startup archives install
2014-10-22 18:35:04 install libc6:amd64 <none> 2.19-10ubuntu2
2014-10-22 18:35:04 status half-installed libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:08 status unpacked libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:08 status unpacked libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:09 configure libc6:amd64 2.19-10ubuntu2 2.19-10ubuntu2
2014-10-22 18:35:09 status unpacked libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:09 status unpacked libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:09 status half-configured libc6:amd64 2.19-10ubuntu2
2014-10-22 18:35:09 status installed libc6:amd64 2.19-10ubuntu2
